Position;Order;Max_Weight;Average X-Arm (m)
HJ;36;45968;30,65
HH;36;45968;31,894
J;36;45968;32,416
JLR;37;45461,77021;32,733
JKR;38;44009,11081;33,459
JKL;39;43478,4679;33,85
JK;39;43478,4679;33,85
JJ;39;43478,4679;33,85
K;40;42937,35895;34,358
JLG;41;41814,66165;34,993
31;42;37973,58491;36,837
31L;42;37973,58491;36,837
31R;42;37973,58491;36,837
31P;42;37973,58491;36,837
KK;43;37950,9434;36,847
L;44;37489,0566;37,051
KMR;44;37489,0566;37,051
KML;44;37489,0566;37,051
KM;45;37029,43396;37,254
32;46;36411,32075;37,527
32L;47;34388,22642;38,419
32R;47;34388,22642;38,419
LPR;47;34388,22642;38,419
32P;48;32360,26415;39,3
LL;49;32334,9434;39,311
M;50;31867,66038;39,514
33L;51;30744,33962;40,002
33R;51;30744,33962;40,002
33;51;30744,33962;40,002
MPR;52;30113,62264;40,276
MPL;52;30113,62264;40,276
MP;52;30113,62264;40,276
41;53;26663,09434;41,775
41L;53;26663,09434;41,775
41R;54;26660,79245;41,776
P;55;25571,00424;41,979
MM;55;25571,00424;41,979
41P;55;25571,00424;41,979
42L;56;21232,83019;43,502
42R;56;21232,83019;43,502
42;57;21074,33962;43,562
PRR;57;21074,33962;43,562
PRL;57;21074,33962;43,562
42P;58;19286,03774;44,239
PP;58;19286,03774;44,239
R;59;18749,81132;44,442
43L;60;16895,4717;45,144
43R;60;16895,4717;45,144
43;60;16895,4717;45,144
51;61;12994,22453;46,703
RR;62;12487,64377;46,906
52;63;12285,51057;46,987
S;63;12285,51057;46,987
53;64;7979,9;48,977
SS;65;7620,8;49,166
T;66;7233,2;49,37
TT;67;3364,337452;51,63
U;68;3056,247976;51,833
