%MAC;Pitch Trim
18;7
18,1;7
18,2;7
18,3;7
18,4;7
18,5;7
18,6;7
18,7;7
18,8;7
18,9;7
19;7
19,1;7
19,2;7
19,3;7
19,4;7
19,5;7
19,6;7
19,7;7
19,8;7
19,9;7
20;7
20,1;7
20,2;7
20,3;7
20,4;7
20,5;7
20,6;7
20,7;7
20,8;7
20,9;7
21;7
21,1;6,95
21,2;6,9
21,3;6,85
21,4;6,8
21,5;6,75
21,6;6,7
21,7;6,65
21,8;6,6
21,9;6,55
22;6,5
22,1;6,45
22,2;6,4
22,3;6,35
22,4;6,3
22,5;6,25
22,6;6,2
22,7;6,15
22,8;6,1
22,9;6,05
23;6
23,1;5,95
23,2;5,9
23,3;5,85
23,4;5,8
23,5;5,75
23,6;5,7
23,7;5,65
23,8;5,6
23,9;5,55
24;5,5
24,1;5,45
24,2;5,4
24,3;5,35
24,4;5,3
24,5;5,25
24,6;5,2
24,7;5,15
24,8;5,1
24,9;5,05
25;5
25,1;4,95
25,2;4,9
25,3;4,85
25,4;4,8
25,5;4,75
25,6;4,7
25,7;4,65
25,8;4,6
25,9;4,55
26;4,5
26,1;4,45
26,2;4,4
26,3;4,35
26,4;4,3
26,5;4,25
26,6;4,2
26,7;4,15
26,8;4,1
26,9;4,05
27;4
27,1;3,95
27,2;3,9
27,3;3,85
27,4;3,8
27,5;3,75
27,6;3,7
27,7;3,65
27,8;3,6
27,9;3,55
28;3,5
28,1;3,45
28,2;3,4
28,3;3,35
28,4;3,3
28,5;3,25
28,6;3,2
28,7;3,15
28,8;3,1
28,9;3,05
29;3
29,1;2,95
29,2;2,9
29,3;2,85
29,4;2,8
29,5;2,75
29,6;2,7
29,7;2,65
29,8;2,6
29,9;2,55
30;2,5
30,1;2,45
30,2;2,4
30,3;2,35
30,4;2,3
30,5;2,25
30,6;2,2
30,7;2,15
30,8;2,1
30,9;2,05
31;2
31,1;1,95
31,2;1,9
31,3;1,85
31,4;1,8
31,5;1,75
31,6;1,7
31,7;1,65
31,8;1,6
31,9;1,55
32;1,5
32,1;1,45
32,2;1,4
32,3;1,35
32,4;1,3
32,5;1,25
32,6;1,2
32,7;1,15
32,8;1,1
32,9;1,05
33;1
33,1;0,95
33,2;0,9
33,3;0,85
33,4;0,8
33,5;0,75
33,6;0,7
33,7;0,65
33,8;0,6
33,9;0,55
34;0,5
34,1;0,45
34,2;0,4
34,3;0,35
34,4;0,3
34,5;0,25
34,6;0,2
34,7;0,15
34,8;0,1
34,9;0,05
35;0
35,1;0
35,2;0
35,3;0
35,4;0
35,5;0
35,6;0
35,7;0
35,8;0
35,9;0
36;0
36,1;0
36,2;0
36,3;0
36,4;0
36,5;0
36,6;0
36,7;0
36,8;0
36,9;0
37;0
37,1;0
37,2;0
37,3;0
37,4;0
37,5;0
37,6;0
37,7;0
37,8;0
37,9;0
38;0
38,1;0
38,2;0
38,3;0
38,4;0
38,5;0
38,6;0
38,7;0
38,8;0
38,9;0
39;0
39,1;0
39,2;0
39,3;0
39,4;0
39,5;0
39,6;0
39,7;0
39,8;0
39,9;0
40;0
